transaction_pk,tag_id,user_id,car_model_id,car_name,txn_id,nominal_kwh,usable_kwh,label_soh_abs,label_soh,soc_min_full,soc_max_full,delta_soc_full,soc_min_20_80,soc_max_20_80,delta_soc_20_80,dsoc_dt_mean,dsoc_dt_max,start_ts,end_ts,connector,seq_len
23292,evc1510,1510,41,BYD Atto 3 Dynamic,23292,49.92,54.24701041666667,1.0866788945646368,1.05,14.0,100.0,86.0,20.0,80.0,60.0,0.0316939890710382,0.05,2025-05-16 11:07:00,2025-05-16 12:03:00,351899,61
23309,0966881804-tag,668,40,BYD Dolphin GLX,23309,44.9,62.34934722222224,1.3886268869091811,1.05,13.0,100.0,87.0,20.0,80.0,60.0,0.0349453551912568,0.05,2025-05-16 13:25:00,2025-05-16 14:24:00,351899,61
23312,0CCC478B9622,1080,40,BYD Dolphin GLX,23312,44.9,59.59897222222222,1.3273713189804504,1.05,0.0,100.0,100.0,20.0,80.0,60.0,0.0275045537340619,0.0333333333333333,2025-05-16 13:55:00,2025-05-16 14:53:00,628886,61
23332,evc-1337,1337,40,BYD Dolphin GLX,23332,44.9,49.379444444444445,1.0997649096758229,1.05,6.0,95.0,89.0,20.0,80.0,60.0,0.0345719489981785,0.05,2025-05-16 22:01:00,2025-05-16 22:50:00,363012,61
23357,evc1694,1694,40,BYD Dolphin GLX,23357,44.9,48.160027777777785,1.0726064093046277,1.05,17.0,85.0,68.0,20.0,80.0,60.0,0.0349362477231329,0.05,2025-05-17 02:13:00,2025-05-17 02:48:00,1332151,61
23459,0966881804-tag,668,40,BYD Dolphin GLX,23459,44.9,62.22944135802468,1.3859563776842914,1.05,9.0,100.0,91.0,20.0,80.0,60.0,0.0335883424408014,0.05,2025-05-17 12:41:00,2025-05-17 13:42:00,351899,61
23466,0CCC478B9622,1080,40,BYD Dolphin GLX,23466,44.9,14.568551752756369,0.324466631464507,0.7,0.0,98.0,98.0,20.0,80.0,60.0,0.8471588227983231,1.11666670660178,2025-05-17 13:45:00,2025-05-17 14:19:00,628886,61
23550,0985823333-tag,720,45,BYD M6 Performance,23550,55.4,15.520133708419868,0.2801468178415138,0.7,0.0,85.0,85.0,20.0,80.0,60.0,0.6886979243904087,1.0166667696833716,2025-05-18 09:03:00,2025-05-18 09:31:00,702620,61
23564,evc1711,1711,45,BYD M6 Performance,23564,55.4,45.269961022110536,0.8171473108684213,0.8171473108684213,0.0,100.0,100.0,20.0,80.0,60.0,0.1910603009053877,0.6166666715674931,2025-05-18 12:09:00,2025-05-18 13:02:00,628886,61
23572,0CCC478B9622,1080,40,BYD Dolphin GLX,23572,44.9,33.96472181134082,0.7564526015888825,0.7564526015888825,0.0,100.0,100.0,20.0,80.0,60.0,0.3621594010364017,0.7833334267139546,2025-05-18 13:45:00,2025-05-18 14:29:00,628886,61
